               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                 113,            0.016166,           0.0084726,            0.014701,             0.91374,             0.90424,             0.95902,             0.77346,            0.011941,           0.0027527,            0.006727,            0.004456,            0.004456,            0.004456
                 114,            0.015928,           0.0082899,            0.013221,             0.87609,             0.89706,             0.95726,             0.76794,            0.012164,           0.0027878,           0.0075023,           0.0044065,           0.0044065,           0.0044065
                 115,             0.01567,           0.0083465,            0.014162,             0.90452,             0.89011,             0.95572,             0.76728,            0.011616,           0.0027136,           0.0071666,            0.004357,            0.004357,            0.004357
                 116,            0.015803,           0.0084291,            0.013829,             0.88089,             0.88667,             0.95157,             0.77235,             0.01209,           0.0026518,            0.008528,           0.0043075,           0.0043075,           0.0043075
                 117,            0.015796,           0.0083961,            0.014406,             0.90692,             0.85285,             0.94579,             0.75755,            0.012178,           0.0026664,            0.008417,            0.004258,            0.004258,            0.004258
                 118,            0.015992,           0.0085276,            0.014035,             0.86063,             0.89075,              0.9471,             0.75534,            0.012558,           0.0028065,           0.0078214,           0.0042085,           0.0042085,           0.0042085
                 119,            0.016143,           0.0084076,            0.013934,             0.91055,             0.84161,             0.94451,             0.75655,             0.01203,           0.0026512,            0.008386,            0.004159,            0.004159,            0.004159
                 120,            0.015766,           0.0083816,            0.013572,             0.88031,              0.8831,              0.9569,              0.7796,            0.011467,           0.0026774,           0.0074264,           0.0041095,           0.0041095,           0.0041095
                 121,            0.015746,           0.0084513,            0.014035,             0.93361,             0.90851,             0.94504,             0.76155,            0.011229,            0.002641,           0.0064741,             0.00406,             0.00406,             0.00406
                 122,            0.015853,           0.0083985,            0.014004,             0.92416,             0.86671,             0.95166,             0.77259,            0.011973,           0.0026921,           0.0074948,           0.0040105,           0.0040105,           0.0040105
                 123,            0.015803,            0.008489,            0.013224,             0.93969,             0.90208,              0.9569,             0.76807,            0.012262,           0.0026716,           0.0062466,            0.003961,            0.003961,            0.003961
                 124,            0.015775,           0.0086561,            0.013427,             0.91559,             0.88873,             0.94713,             0.75197,             0.01236,           0.0026019,            0.007348,           0.0039115,           0.0039115,           0.0039115
